Tema Queja;Año;Área;Número de quejas
Contaminación por aire;2019;Chapinero;2
Contaminación por aire;2019;Santa Fe;0
Contaminación por aire;2019;San Cristóbal;2
Contaminación por aire;2019;Usme;1
Contaminación por aire;2019;Tunjuelito;6
Contaminación por aire;2019;Bosa;4
Contaminación por aire;2019;Kennedy;10
Contaminación por aire;2019;Fontibón;4
Contaminación por aire;2019;Engativá;4
Contaminación por aire;2019;Suba;2
Contaminación por aire;2019;Barrios Unidos;1
Contaminación por aire;2019;Teusaquillo;1
Contaminación por aire;2019;Los Mártires;0
Contaminación por aire;2019;Antonio Nariño;5
Contaminación por aire;2019;Puente Aranda;2
Contaminación por aire;2019;La Candelaria;0
Contaminación por aire;2019;Rafael Uribe Uribe;0
Contaminación por aire;2019;Ciudad Bolívar;3
Contaminación por aire;2019;Distrito;50
Humo de tabaco;2019;Usaquén;3
